Date,Time,Observer,Where,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11/7,3:20:00 PM,Penny,L,0,1,0,1,2,1,1,1,1,4,3,1,2,3,0
11/7,3:40:00 PM,Penny,M,2,3,2,1,4,3,2,2,4,2,0,2,2,2,3
11/9,9:00:00 AM,Nicole,R,8,8,9,9,7,10,7,10,6,7,11,5,5,10,10
11/9,9:20:00 AM,Nicole,M,7,11,10,10,14,7,9,8,12,11,10,9,10,7,12
11/10,10:20:00 AM,Nicole,L,17,18,18,16,13,15,12,15,15,13,13,17,12,14,13
11/10,10:40:00 AM,Nicole,R,15,15,11,14,12,12,15,14,15,19,16,17,15,10,15
11/10,2:20:00 PM,Nicole,L,3,4,2,0,0,1,2,4,1,1,4,3,2,1,2
11/10,2:40:00 PM,Nicole,M,0,2,2,0,0,2,0,1,0,3,0,3,1,3,4
11/10,3:00:00 PM,Nicole,R,0,1,2,2,3,2,1,0,2,2,1,1,3,1,3
11/10,3:20:00 PM,Nicole,L,4,4,3,1,0,2,0,0,2,1,2,0,0,0,0
11/10,3:40:00 PM,Nicole,M,2,1,4,2,1,1,3,1,0,2,2,0,1,0,4
11/10,4:00:00 PM,Nicole,R,2,2,0,2,1,3,1,0,1,0,0,3,2,1,0
11/10,4:20:00 PM,Nicole,L,1,1,1,0,2,1,1,0,1,2,5,3,1,0,2
11/10,4:40:00 PM,Nicole,M,1,2,1,2,2,1,2,5,1,1,1,5,1,0,3
11/11,2:00:00 PM,Nicole,L,1,4,1,2,0,1,1,0,2,0,3,1,1,2,0
11/11,2:20:00 PM,Nicole,M,2,2,2,4,2,0,1,1,4,1,0,1,0,1,1
11/11,2:40:00 PM,Nicole,R,3,3,5,2,5,2,5,1,0,1,2,4,1,4,3
11/11,3:00:00 PM,Nicole,L,2,1,0,3,3,2,5,2,1,2,4,1,2,2,0
11/11,3:20:00 PM,Nicole,M,1,2,4,0,4,2,2,1,1,3,1,2,4,2,3
11/11,3:40:00 PM,Nicole,R,4,2,3,2,1,2,3,0,3,0,1,1,2,3,0
11/11,4:00:00 PM,Nicole,L,3,1,1,2,3,1,0,2,0,5,3,1,0,1,1
11/11,4:20:00 PM,Nicole,M,1,2,1,0,1,2,1,3,2,0,1,1,0,0,1
11/4,9:00:00 AM,Bradley,L,2,12,3,8,9,11,9,6,8,6,6,5,7,4,9
11/4,9:20:00 AM,Bradley,M,7,4,5,7,7,10,6,6,10,7,9,9,7,7,5
11/4,9:40:00 AM,Bradley,R,7,6,10,5,8,12,10,12,10,9,13,10,13,12,8
11/4,10:00:00 AM,Bradley,R,5,4,7,12,11,7,9,11,6,7,6,9,6,8,11
11/4,10:20:00 AM,Bradley,M,7,12,6,6,5,7,7,5,5,6,7,8,10,9,10
11/4,10:40:00 AM,Bradley,L,10,7,6,12,11,15,12,10,12,11,12,13,12,10,9
11/12,9:00:00 AM,Bradley,L,2,1,2,3,5,6,4,5,3,6,3,6,7,6,5
11/12,9:20:00 AM,Bradley,M,7,6,4,5,6,5,3,4,8,7,6,6,6,5,4
11/12,9:40:00 AM,Bradley,R,3,3,6,6,5,7,7,8,11,10,9,8,11,10,9
11/12,10:00:00 AM,Bradley,R,6,5,8,11,7,8,6,5,9,7,66,11,7,9,6
11/12,10:20:00 AM,Bradley,M,10,7,6,7,13,10,7,9,6,9,12,16,13,15,11
11/12,10:40:00 AM,Bradley,L,8,13,11,10,12,14,9,6,6,9,10,11,10,6,9
11/12,2:00:00 PM,Bradley,L,3,0,0,1,1,1,2,0,1,1,3,0,0,0,2
11/12,2:20:00 PM,Bradley,M,2,3,0,2,2,1,0,0,3,2,3,0,2,1,2
11/12,2:40:00 PM,Bradley,R,0,2,3,2,3,2,0,4,4,5,2,3,2,4,0
11/12,3:00:00 PM,Bradley,R,2,3,0,0,1,0,0,3,2,0,0,4,2,0,4
11/12,3:20:00 PM,Bradley,M,3,2,3,0,0,0,3,4,2,3,2,3,3,5,3
11/12,3:40:00 PM,Bradley,L,2,0,3,5,2,3,1,0,2,4,0,0,1,2,3
11/13,5:20:00 PM,Bradley,L,7,10,6,6,6,7,6,9,7,7,6,5,8,7,9
